"","X","Q8","STEM_Non.STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q23","Q24","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q38","Q39","Q40","Q42","Q45","Q46","Q47","Q48","Q49","Q90_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"158",158,1,1,3,3,3,2,2,3,2,2,4,2,4,4,3,4,3,2,3,2,1,0,4,3,2,0,2,2,1,1,4,1,0,0,1,0,1,1,2.49051490514905,1,2,4,2,4,4,3,4,3,2,3,2,2,3,2,1,1,3,2,2,1,1,1,2,4,1
"159",159,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,1,1,1,4,4,4,4,4,4,1,0,3.34117647058824,0,1,0,10,1,11,1,2,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,2,2,1,1,1,2,2,2,1,1
"160",160,4,1,5,4,5,5,5,5,5,5,4,5,4,4,4,4,3,4,4,1,1,1,4,4,4,4,4,4,1,1,4,0,1,4,3,1,0,2,3,0.938172043010753,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,1,1,1,1,1,2,1,2,1,1
"161",161,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,5,1,1,0,4,3,3,4,0,0,1,1,4,1,1,3,10,1,0,3,1,1,5,5,5,5,5,4,4,3,3,5,5,5,5,5,1,1,1,1,1,1,1,1,2,5,1
"162",162,1,0,3,2,3,3,3,3,4,3,4,3,3,3,3,3,1,1,2,2,1,0,4,4,4,3,3,3,1,1,3,0,0,1,20,1,2,1,2,1,2,3,3,3,2,2,3,1,1,3,1,2,2,4,3,2,2,2,2,1,2,1,2,5,1
"163",163,1,1,4,4,4,4,4,4,4,4,5,3,3,3,4,3,3,2,3,1,1,1,3,3,3,4,4,2,1,1,3,1,1,6,6,1,7,1,7,1,4,5,3,3,3,4,3,4,2,3,4,4,4,4,3,1.53452685421995,2,2,1,0,1,1,2,6,1
"164",164,6,1,2,2,3,2,2,1,3,2,3,2,3,2,1,2,2,2,2,1,1,0,2,2,2,2,2,1,1,1,2,1,1,5,3,0,3,2,1,1,2,3,2,2,2,1,1,2,2,3,2,2,1,3,1,2,3,2,2,1,2,1,2,1,1
"165",165,1,1,4,4,4,5,4,3,4,4,3,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,0,0,1,1,3,0,1,0,1,1,1,0,1,1,4,4,5,4,4,4,4,4,4,4,4,4,3,4,1,1,1,1,1,1,2,2,2,1,1
"166",166,1,1,5,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,4,1,1,0,4,4,4,4,3,4,0,1,3,1,1,8,10,1,3,0,2,1,5,5,5,4,3,5,5,5,5,5,4,5,5,5,1,2,1.56598984771574,1,1,1,1,1,2,5,1
"167",167,1,0,3,1,2,5,5,4,5,3,5,4,5,5,4,4,4,3,4,1,1,1,4,4,4,0,0,0,0,0,3.34117647058824,0,1,1,1,1,1,0,2.49051490514905,0.938172043010753,3,5,3,5,5,3,3,3,2,4,5,5,4,5,3,3,1,2,2,0,2,1,2,5,1
"168",168,1,1,4,3,3,5,4,5,5,3,4,3,2,2,3,1,4,3,3,1,1,1,3,3,4,3,1,2,1,1,4,1,0,1,1,1,3,1,2,1,3,5,4,2,2,3,2,3,3,3,4,4,4,5,2,1,1,2,2,0,1,1,2,5,1
"169",169,1,1,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,1,1,4,4,4,4,3,4,0,1,3,0,1,5,10,1,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,1,1,1,1,2,1,1
"170",170,3,1,5,4,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,1,1,1,4,4,4,3,3,3,1,0,3.34117647058824,0,0,3,2,1,1,1,1,1,4,4,5,5,5,4,4,4,4,5,5,5,5,4,2,2,1,2,1,1,1,1,2,5,1
"171",171,1,1,4,4,4,5,5,5,5,4,4,5,5,5,5,5,3,4,5,2,1,0,4,4,4,4,4,4,0,1,4,1,0,5,1,2,0,0,7,1,4,4,5,5,5,5,4,3,4,5,5,5,5,5,1,1,1,1,1,1,1,1,2,5,1
"172",172,6,1,2,2,2,2,3,3,3,3,4,2,3,3,4,2,3,2,2,1,1,0,4,4,4,3,4,3,0,1,4,0,1,3,20,1,9,0,7,1,3,4,2,3,3,4,3,3,3,3,2,3,3,3,1,1,1,2,1,1,2,1,2,1,1
"173",173,6,1,4,3,4,4,4,4,4,3,4,5,4,4,4,3,3,4,4,1,1,1,3,3,3,0,3,3,0,1,4,1,1,3,5,0,3,0,1,1,4,4,5,4,4,3,4,3,3,4,4,4,4,4,3,0,2,1,1,0,2,1,2,5,1
"174",174,6,1,4,3,4,4,4,4,4,5,5,5,3,2,3,3,5,3,4,1,1,0,4,4,3,4,4,4,0,1,4,1,1,10,10,1,4,0,4,1,5,5,5,3,2,4,3,5,3,4,4,4,4,4,2,2,2,1,1,3,1,2,2,5,1
"175",175,1,0,5,5,5,5,4,4,4,4,3,3,4,4,4,4,3,1,4,1,1,0,4,4,4,4,0,4,0,1,3,0,1,1,7,1,3,0,2,1,4,3,3,4,4,4,4,2,1,4,5,4,4,4,1,1,1,1,1,0,1,1,2,5,1
"176",176,6,1,3,2,4,4,4,4,4,3,4,4,3,3,2,3,4,1,3,1,1,1,3,4,4,3,1,1,0,1,2,1,1,0,10,1,9,2,1,0.938172043010753,3,4,4,3,4,2,3,5,1,3,4,4,3,4,3,2,1,1,1,1,3,1,2,5,1
"177",177,1,1,4,4,4,5,5,4,4,4,5,5,4,4,5,4,4,3,4,1,1,0,4,4,4,4,4,4,1,1,4,1,1,5,6,1,3,0,2.49051490514905,1,4,5,5,4,4,5,4,4,4,4,5,5,4,4,1,1,1,2,1,1,2,1,2,5,1
"178",178,3,1,5,3,4,5,5,5,5,5,4,4,3,5,5,4,5,5,4,1,1,1,4,4,4,4,3,4,1,1,4,1,1,5,6,1,2,0,2,1,5,4,4,4,5,5,4,5,5,4,5,5,5,5,2,1,1,1,1,1,2,1,2,5,1
"179",179,1,1,3,3,3,4,4,4,4,4,4,4,4,5,5,5,4,5,4,2,1,1,4,4,3,3,4,4,0,0,3.34117647058824,1,0,30,20,0,1,0,1,1,4,4,4,5,4,4,4,3,4,4,5,5,5,5,2,3,2,2,1,1,2,2,2,1,1
"180",180,1,0,3,3,3,4,4,4,4,3,3,3,3,3,2,2,4,1,3,1,1,1,3,4,4,3,3,2,1,0,3.34117647058824,1,1,5,4,1,2,0,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,1,1,1,2,1,2,5,1
"181",181,5,0,4,2,4,5,4,4,4,5,5,5,4,3,5,5,3,2,4,1,1,1,4,4,4,4,3,4,1,1,4,1,1,0,3,1,3,0,3,1,5,5,5,4,3,5,4,3,3,4,5,4,4,4,3,3,1,1,1,1,1,1,2,5,1
"182",182,1,1,4,3,3,4,5,4,4,3,5,3,3,4,4,4,5,5,4,1,1,1,4,4,4,4,4,4,1,1,2,1,1,3,6,1,3,1,1,0.938172043010753,3,5,3,3,5,5,5,5,4,3,4,4,4,4,3,2,2,1,1,0,2,1,2,5,1
"183",183,3,1,3,3,4,4,5,5,4,4,4,5,3,4,4,3,2,4,4,1,1,1,3,4,4,4,0,3,1,1,3,0,0,8,5,1,3,1,2,1,4,4,5,3,4,3,3,4,4,4,4,4,5,5,1,1,1,2,1,1,1,1,2,5,1
"184",184,6,1,4,4,4,5,4,4,5,4,3,4,3,4,5,2,4,3,3,1,1,0,4,4,4,4,4,4,0,1,3,1,0,25,15,1,6,0,1,1,4,3,4,3,4,5,2,4,3,3,5,4,4,5,2,1,1,1,2,1,2,1,2,1,1
"185",185,1,1,4,2,3,5,5,4,4,3,4,3,3,3,4,2,3,2,3,1,1,1,3,3,4,4,3,3,0,1,3,1,1,4,6,1,11,4,4,1,2,4,3,3,3,4,2,3,3,3,5,4,4,4,2,2,1,2,1,1,2,1,2,1,1
"186",186,6,1,3,3,3,4,3,4,3,4,3,4,2,4,4,4,5,1,4,1,1,1,4,4,4,0,2,2,1,1,3,0,1,3,2,1,2,2,7,1,4,3,4,2,4,4,4,5,3.13624678663239,4,4,3,4,3,2,1,1,2,2,1,1,1,2,1,1
"187",187,1,1,5,3,4,5,4,4,3,4,4,4,3,4,5,3,1,3,4,1,1,1,4,4,4,4,4,4,1,1,4,1,1,5,3,2,1,0,1,1,3,4,4,4,4,4,3,2,3,4,5,4,4,3,2,3,2,2,1,0,2,1,2,1,1
"188",188,3,1,2,2,2,3,2,4,4,3,3,2,2,2,2,2,1,2,2,1,1,1,3,3,2,0,0,0,0,1,3,0,0,6,3,0,3,0,4,0.938172043010753,3,1,3,2,2,2,2,1,2,2,3,2,4,4,2,2,1,2,2,2,2,2,2,1,1
"189",189,1,1,4,4,4,4,4,4,3,4,5,3,1,3,4,4,5,4,3,1,1,1,4,4,4,4,2,4,0,0,3.34117647058824,0,1,6,12,1,2,2,1,1,4,5,3,1,3,4,4,4,4,4,4,4,4,3,1,1,2,3,2,1,1,1,2,5,1
"190",190,1,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,0,1,0,4,4,4,0,0,0,1,1,4,0,1,3,1,0,2,1,2,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,1,1,1,1,2,5,1
"191",191,1,0,4,5,5,5,5,5,5,5,5,3,3,4,1,4,3,3,3,1,1,1,4,2,3,4,0,4,1,1,4,1,1,0,5,1,0,1,2,0,5,5,4,2,4,1,4,3,3,3,5,5,5,5,3,2,2,1,1,1,1,1,2,5,1
"192",192,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,1,1,0,3,4,4,4,3,3,0,1,4,0,1,5,0,2,1,2,2.49051490514905,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,1,2,1,1,1,1,1,1,2,5,1
"193",193,1,1,3,2,3,3,4,3,3,1,2,1,4,3,1,2,2,1,2,1,1,0,4,4,1,1,1,1,1,1,4,1,1,10,2,1,0,0,2.49051490514905,1,2,1,1,3,3,1,2,2,1,2,3,4,3,3,3,1,2,2,1,1,2,1,2,5,1
"194",194,6,1,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,1,1,0,4,4,2,3,3,3,0,1,3,1,1,8,4,1,5,2,2,1,5,5,5,4,5,4,5,4,4,5,5,5,5,5,1,1,2,1,1,1,1,1,2,5,1
"195",195,3,1,2,2,3,2,2,1,4,1,5,3,2,3,1,3,5,1,2,0,1,0,4,4,4,4,2,3,1,0,3.34117647058824,0,0,16,4,1,3,2,1,1,1,5,3,2,3,1,3,5,1,2,1,1,1,4,3,1,2,2,2,1,2,1,2,5,1
"196",196,1,1,3,4,3,2,2,3,5,3,2,2,2,4,1,3,2,1,2,0,1,0,4,2,2,2,2,2,0,1,1,1,1,0,1,1,2,0,7,1,3,2,2,3,5,1,3,2,1,2,2,3,4,5,3,2,3,2,1,1,1,1,2,5,1
"197",197,6,1,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3,1,1,0,4,4,4,4,4,4,0,1,3,0,1,2,0,2,5,1,2,1,4,4,4,3,3,3,3,3,3,3,3,3,4,4,2,2,1,2,1,1,2,1,2,5,1
"198",198,1,0,4,3,3,4,4,4,5,3,5,2,3,5,2,3,3,3,3,0,1,0,4,4,4,4,3,4,1,1,3,1,1,0,10,1,5,0,2,1,3,5,2,3,5,2,3,3,3,2,4,3,4,5,2,2,3,2,1,0,2,1,2,5,1
"199",199,3,1,3,3,4,4,4,4,4,4,5,3,4,3,4,4,3,4,4,1,1,1,4,4,4,4,4,4,0,1,4,0,0,7,2,1,4,1,1,1,3,5,4,3,3,4,4,3,4,4,5,4,4,4,1,1,1,2,1,1,2,1,2,5,1
"200",200,6,1,5,3,4,4,5,4,5,4,5,4,5,4,5,5,5,5,4,1,1,1,4,4,3,4,0,4,0,1,2,0,1,10,8,1,7,3,1,1,4,5,4,4,3,5,4,5,5,5,4,5,4,5,2,1,2,1,2,1,1,1,2,5,1
"201",201,3,1,3,3,4,4,4,4,5,4,5,4,3,3,3,4,3,4,4,2,1,1,3,3,0,0,0,0,1,1,3,0,0,9,10,1,18,3,1,1,4,5,5,3,3,3,3,4,4,4,4,4,4,5,3,2,2,2,1,0,1,1,2,1,1
"202",202,5,0,5,1,4,2,4,4,5,5,3,5,4,3,5,4,4,4,4,1,1,0,4,4,4,4,0,4,1,1,2,0,1,2,4,1,11,0,2,1,5,3,5,4,3,5,5,3,4,4,2,4,3,5,1,1,1,1,1,1,1,1,2,5,1
"203",203,2.35368956743003,0,5,4,5,4,5,4,5,3,4,4,4,3,3,3,4,1,4,2,1,1,3,4,4,2,2,1,1,1,4,1,1,7,25,1,14,2,2,1,3,5,4,3,4,3,3,4,1,3,5,4,4,4,2,1,1,2,1,0,2,1,2,5,1
"204",204,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,2,1,1,4,4,4,4,4,4,1,1,4,0,0,3,5,1,0,0,2,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,2,1,1,1,1,1,1,1,2,5,1
"205",205,1,1,5,5,5,4,5,4,5,5,5,5,4,5,5,4,5,4,5,1,1,1,4,4,4,4,4,4,0,1,4,0,1,0,14,0,3,2,1,1,5,5,5,5,4,5,4,5,4,5,4,5,4,5,2,1,2,2,1,1,1,1,2,5,1
"206",206,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,3,3,3,3,3,1,1,3,1,1,5,2,1,2,1,7,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,1,0,2,1,2,1,1
"207",207,3,1,4,2,4,5,4,4,3,4,5,5,5,4,3,5,5,5,4,1,1,1,4,4,4,4,4,4,1,1,4,0,0,12,4,1,8,3,4,1,4,5,5,4,4,5,5,5,5,5,5,5,4,3,2,1,1,2,1,1,1,1,2,1,1
"208",208,1,0,4,4,3,3,4,5,5,3,5,3,4,4,3,2,2,3,3,1,0,0,2,3,3,2,1,1,0,1,4,1,0,0,10,1,1,0,2,1,3,5,3,3,4,3,2,1,2,3,3,4,5,5,3,1,3,2,1,1,2,1,2,5,1
"209",209,6,1,5,5,5,4,4,4,5,5,5,5,3,3,3,3,5,1,4,1,1,0,4,4,3,4,2,2,0,1,2,0,1,0,2,1,4,0,1,1,5,5,5,3,3,3,3,5,1,5,4,5,5,4,1,1,1,1,1,1,2,1,2,5,1
"210",210,2.35368956743003,1,4,3,3,4,5,3,4,4,5,4,3,4,4,4,3,3,3,0,1,1,4,4,3,3,2,3,1,1,4,1,1,3,6,1,3,3,1,1,3,5,3,3,3,4,5,3,2,3,4,5,3,4,3,1,1,1,1,0,1,1,2,5,1
"211",211,1,1,2,2,2,4,4,3,4,2,3,3,3,3,2,2,4,2,3,2,0,0,3,2,2,0,3,3,0,1,4,1,1,10,4,1,2,1,7,1,2,4,3,2,2,2,3,4,2,3,4,4,4,4,1,1,2,2,1,1,1,1,2,5,1
"212",212,1,1,4,3,4,4,4,4,5,4,5,4,4,5,3,3,4,3,4,1,1,0,4,4,4,3,2,3,1,1,4,1,1,4,2,1,2,2,2.49051490514905,1,4,5,4,4,5,4,3,4,3,4,4,4,4,5,1,1.53452685421995,2,1,1,1,2,1,2,5,1
"213",213,1,1,3,3,3,5,4,4,4,4,4,3,4,5,5,4,5,3,4,2,0,0,4,4,4,4,4,4,0,1,3,0,1,5,6,1,1,1,7,1,4,4,3,4,5,5,3,3,3,3,4.01282051282051,4.07435897435897,3.94871794871795,4.32307692307692,1.82278481012658,1.53452685421995,1.56598984771574,1.54936708860759,1.26075949367089,0.754430379746835,2,1,2,5,1
"214",214,1,0,5,5,5,5,5,4,5,5,5,5,4,4,5,4,2,5,5,1.09438775510204,1,0,4,4,4,4,0,4,1,1,2,1,0,2,8,1,4,2,2,0.938172043010753,4,5,5,5,4,5,4,2,5,5,5,5,4,5,2,2,1,2,1,0,1,1,2,5,1
"215",215,1,1,1,1,1,1,2,4,4,2,1,2,3,4,1,2,2,3,2,1,1,0,2,1,2,0,0,0,1,1,4,1,1,0,5,1,1,0,4,1,2,3,3,3,3,1,1,3,3,2,1,1,3,4,3,2,3,2,1,1,2,1,2,1,1
"216",216,1,1,1,1,1,2,2,1,3,2,4,2,2,2,1,2,1,1,1,1,0,0,1,2,1,1,1,1,0,1,3,1,1,3,1,0,0,0,1,1,2,4,1,2,2,1,2,1,1,2,2,2,2,3,1,1,3,2,1,0,1,1,2,4,1
"217",217,1,0,5,4,5,4,5,5,5,5,5,5,5,5,3,4,3,2,4,1,1,0,4,3,4,2,2,2,0,1,4,1,1,0,4,1,0,0,2,1,4,3,5,4,4,4,4,2,2,4,4,5,5,5,3,1,1,1,1,1,1,1,2,5,1
"218",218,1,1,4,3,3,4,4,3,5,3,5,4,5,5,3,5,2,4,5,1,1,1,4,4,2,3,3,0,0,1,3,1,1,6,3,1,0,0,1,1,3,5,4,4,4,3,4,3,2,4,4,3,4,5,1,1,2,2,1,1,2,1,2,5,1
"219",219,1,1,4,4,3,4,4,4,4,4,2,3,3,4,3,2,2,2,4,1,1,0,4,4,4,0,2,1,0,1,3,1,1,9,1,1,4,1,1,1,4,2,3,3,4,3,3,2,2,4,4,4,4,5,0,1,1,1,1,1,2,1,2,5,1
"220",220,3,1,3,4,4,5,5,5,5,5,2,4,5,5,5,5,4,4,5,2,1,1,4,4,4,4,4,4,1,1,3,0,0,7,1,1,1,1,1,1,5,2,4,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,1,2,1,2,1,1
"221",221,3,1,2,3,3,4,4,4,4,4,4,3,2,2,2,3,4,2,3,0,1,0,3,3,3,2,2,2,1,0,3.34117647058824,0,0,0,13,1,5,0,2.49051490514905,1,4,4,3,2,2,2,3,4,3,3,4,4,4,4,1,1,2,1,1,1,2,1,2,5,1
"222",222,3,1,1,1,1,1,2,2,5,3,3,3,4,5,5,5,5,2,4,1,1,1,3,4,4,3,3,3,1,1,4,1,1,10,0,0,5,1.1536523929471,1,1,2,4,3,4,5,5,5,5,1,4,4,4,5,5,3,0,0,3,0,0,1,1,2,1,1
"223",223,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,1,1,1,4,4,4,4,4,4,1,1,1,0,1,6,4,1,4,1,1,1,4,5,5,4,5,5,5,4,5,5,5,5,5,5,0,1,1,1,1,0,2,1,2,5,1
"224",224,1,1,3,3,4,4,4,4,4,4,5,5,2,2,4,3,4,3,3,1,1,0,4,4,4,4,0,4,1,1,4,0,1,4,14,1,15,4,1,1,4,5,5,3,2,4,3,4,4,4,4,4,4,4,1,1,1,2,2,1,1,1,2,5,1
"225",225,1,1,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,1,1,1,4,4,0,0,0,0,0,0,3.34117647058824,0,1,10,5,1,3,2,1,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,6,1
"226",226,1,1,4,4,4,5,5,5,5,5,5,5,3,3,5,4,3,3,4,2,1,0,3,4,3,3,0,4,0.608695652173913,1,3,1,0,6,10,1,3,1,2.49051490514905,0,4,4,4,3,3,4,4,3,4,4,5,5,5,5,1,1,1,1,1,0,1,1,2,1,1
"227",227,1,0,5,4,4,5,5,5,5,5,5,3,5,5,3,5,5,3,5,1,1,0,4,4,4,0,4,3,0.608695652173913,1,4,1,1,1,0,2,0,0,6,1,5,5,3,5,5,4,5,5,3,5,5,5,5,5,3,1,1,1,1,1,1,1,2,5,1
"228",228,6,1,5,5,4,4,5,5,5,5,5,5,4,5,4,5,3,5,5,1,1,0,4,4,4,2.95989974937343,3,3,1,1,4,1,1,8,4,1,1,1.1536523929471,1,1,5,5,5,5,5,5,5,4,5,5,4,5,5,5,0,1,2,1,1,0,2,1,2,5,1
"229",229,3,1,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,3,4,1,1,1,4,4,4,4,2,3,0,1,3,1,0,5,4,1,1,1,1,1,4,5,5,4,4,4,4,4,3,4,4,5,5,5,3,2,2,2,2,0,1,1,2,5,1
"230",230,3,1,3,3,3,4,4,3,4,4,5,5,3,2,4,3,3,2,3,1,1,0,4,4,4,4,2,4,0,0,3.34117647058824,0,0,3,0,2,1,0,1,1,4,5,4,3,2,3,3,3,3,3,4,4,3,4,3,1,1,1,2,0,1,1,2,5,1
"231",231,1,1,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,4,4,1,1,1,4,4,4,4,0,4,0,1,3,1,1,5,5,1,16,3,1,1,5,5,5,4,5,5,4,5,4,4,4,5,5,5,2,2,1,2,1,0,2,1,2,5,1
"232",232,6,1,4,4,4,4,4,3,4,5,4,5,4,4,5,4,2,3,4,1,1,0,4,4,2,0,3,3,1,1,3,1,1,5,9,2,7,1,1,1,4,4,5,4,4,4,3,2,3,4,4,4,3,4,0,0,1,2,1,0,2,1,2,5,1
"233",233,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,4,4,4,4,4,4,0,1,4,1,1,0,2,2,2,0,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,3,1,1,1,1,2,5,1
"234",234,1,1,4,4,4,4,4,4,3,5,5,5,3,3,4,4,4,3,4,1,1,1,4,4,3,3,3,2,0,1,3,0,1,6,3,1,4,1,2,1,5,5,5,4,3,3,4,4,3,4,4,4,3,3,1,1,1,1,1,1,1,1,2,5,1
"235",235,1,1,5,2,3,4,4,3,5,2,5,5,3,4,3,4,5,5,4,2,0,0,4,4,3,3,0,4,0,1,2,0,1,1,5,0,1,0,1,1,2,5,5,3,3,3,3,5,4,4,4,4,2,5,2,1,1,1,1,1,1,1,2,5,1
"236",236,3,1,2,1,2,1,1,1,5,1,5,1,3,1,2,1,1,1,1,1,1,0,4,1,1,2,1,1,1,1,3,0,1,9,10,1,3,0,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,0,2,1,2,4,1
"237",237,1,1,4,5,4,5,4,4,5,4,4,5,3,3,3,4,4,3,4,2,1,0,3,4,3,3,3,0,1,1,4,0,1,8,6,1,1,2,1,1,4,4,5,3,3,2,4,4,3,4,4,4,5,5,1,1,2,2,1,1,1,1,2,5,1
"238",238,3,1,4,4,4,4,4,4,4,4,3,4,1,1,4,4,5,4,4,2,1,1,4,4,4,4,4,4,0,1,4,1,0,12,1,1,5,1,1,1,4,3,4,1,1,4,4,5,4,4,4,4,4,4,1,1,1,1,1,2,1,2,2,5,1
"239",239,1,1,4,5,5,4,4,3,5,5,5,4,4,3,2,5,2,1,4,1,1,0,4,4,3,3,1,1,0,1,4,1,1,0,8,1,0,0,1,1,5,5,4,5,4,4,4,2,1,4,5,5,3,5,2,2,1,1,1,1,1,1,2,5,1
