"","X","Q8","STEM_Non.STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q23","Q24","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q38","Q39","Q40","Q42","Q45","Q46","Q47","Q48","Q49","Q90_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"240",240,1,1,4,3,3,3,4,4,4,4,3,4,5,4,4,4,3,1,3,1,1,1,4,4,4,1,2,2,0,0,3.34117647058824,0,1,10,5,1,4,1,1,1,4,4,4,4,4,3,3,1,1,3,3,3,4,3,3,3,2,2,2,1,1,1,2,1,1
"241",241,1,1,4,4,4,4,5,4,5,4,5,4,2,3,5,5,4,4,4,1,1,1,4,4,4,4,3,4,0,1,3,1,1,5,8,1,3,2,1,0,4,5,4,2,3,5,5,4,5,4,4,4,4,4,2,2,2,2,2,1,1,1,2,5,1
"242",242,1,1,4,3,3,3,3,4,4,4,5,4,3,2,2,4,5,5,3,1,1,1,4,4,4,4,4,4,1,1,4,0,1,10,5,1,6,2,2,1,4,4,4,3,2,3,3,4,4,3,3,3,4,4,1,1.53452685421995,2,1,1,1,1,1,2,5,1
"243",243,1,0,4,2,3,4,4,3,4,4,5,3,2,3,5,4,1,1,3,1,1,1,4,3,4,3,0,0,1,1,3,0,0,0,2,1,1,1,2,1,4,4,4,3,3,3,3,2,2,3,4,4,3,4,3,2,1,3,1,1,2,1,2,5,1
"244",244,1,1,4,3,3,4,4,4,3,4,5,3,3,3,2,3,3,1,3,1.09438775510204,1,0,3,3,3,2,2,2,0,1,4,0,0,1,1,0,1,0,2,1,3,5,3,3,3,2,3,3,1,3,4,4,4,4,2,3,1,1,1,1,1,1,2,5,1
"245",245,1,1,4,4,4,4,4,5,5,4,5,4,2,3,3,3,4,5,4,1,1,1,3,3,4,4,3,4,1,1,4,1,1,16,7,1,10,1,2,1,4,5,4,2,3,4,3,4,4,4,4,4,5,5,2,1,2,2,1,1,1,1,2,5,1
"246",246,6,1,2,5,4,3,4,5,5,3,5,4,2,4,3,2,5,3,3,1,1,1,3,3,2,0,3,3,0,1,4,1,1,7,3,1,3,1,2.49051490514905,0.938172043010753,3,5,4,2,3,3,2,5,3,3,3,4,5,5,2,1,2,2,2,0,1,1,2,5,1
"247",247,1,0,4,3,3,5,4,4,4,4,4,3,4,5,3,3,4,3,3,1,1,0,4,4,3,3,3,3,1,1,4,0,0,4,8,1,3,0,4,0.938172043010753,4,3,3,4,5,3,3,4,2,4,5,4,4,4,2,2,1,1,1,1,1,1,2,5,1
"248",248,6,1,4,5,4,4,4,4,5,4,5,4,4,4,3,4,5,3,4,1,1,1,3,3,3,4,0,0,0,1,3,1,1,4,6,1,5,0,7,1,4,5,4,4,4,3,4,5,3,4,4,5,5,5,2,1,2,1,1,1,1,1,2,5,1
"249",249,3,1,5,4,4,5,5,5,5,5,5,4,4,4,4,5,4,4,4,1,1,0,3.56532663316583,4,4,0,0,0,0,0,3.34117647058824,0,0,1,8,1,9,1,1,1,5,5,4,4,4,4,4,4,3.13624678663239,4,5,5,5,5,1,1,2,1,1,1,2,1,2,5,1
"250",250,4,1,5,4,5,5,5,5,5,5,5,5,4,5,2,5,4,3,5,2,1,1,4,4,4,4,0,4,1,1,4,0,1,2,9,1,49,5,2,1,4,5,5,5,5,3,5,3,4,5,5,5,5,5,2,1,1,1,1,1,2,1,2,5,1
"251",251,1,1,4,4,4,4,4,4,4,5,5,5,4,4,5,5,4,4,5,1,1,1,4,4,4,4,4,3,1,1,4,1,1,6,3,1,4,1,2.49051490514905,1,5,5,5,4,5,4,5,5,4,5,4,5,5,5,0,2,2,2,1,0,2,1,2,5,1
"252",252,1,1,4,4,4,5,5,5,5,3,4,3,3,5,5,4,4,4,4,1,1,1,4,4,4,4,4,4,1,1,3,0,1,6,25,1,8,0,1,1,3,4,3,3,5,5,5,4,4,3,5,5,5,5,1,1,1,2,1,0,2,1,2,5,1
"253",253,6,1,5,4,5,4,4,4,5,5,5,5,4,4,4,4,2,2,4,1,1,1,4,4,4,3,2,3,0,1,2,1,1,3,3,1,3,0,1,1,5,5,5,4,4,4,4,2,2,4,4,4,4,5,1,1,1,3,1,0,1,1,2,5,1
"254",254,3,1,3,5,4,4,4,4,5,5,5,5,4,4,4,4,5,3,5,1,1,1,4,4,4,4,3,3,1,1,2,0,0,5,10,1,1,3,7,1,4,4,4,4,4,4,4,4,4,4,5,4,5,5,3,3,3,3,1,1,2,1,2,5,1
"255",255,2.35368956743003,0,5,3,4,5,5,5,4,3,4,3,3,4,5,4,4,4,4,0,1,1,4,4,4,4,0,4,1,0,3.34117647058824,1,1,0,25,1,13,5,1,1,3,4,3,3,5,5,4,4,4,4,5,5,5,4,1,1,1,1,2,1,2,1,2,5,1
"256",256,1,0,2,4,3,3,4,4,4,1,3,3,3,3,1,1,3,2,2,0,0,0,3,2,2,3,0,0,1,1,3,1,0,2,6,0,4,0,2.49051490514905,0.938172043010753,1,3,3,3,3,1,1,2,2,2,3,4,4,4,0,1,2,3,1,1,2,1,2,5,1
"257",257,3,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,4,4,4,4,4,0,1,4,0,1,5,8,1,3,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,0,1,1,1,0,2,1,2,5,1
"258",258,6,1,5,3,4,5,5,5,5,4,4,5,4,4,5,4,5,5,5,2,1,1,3,3,3,4,4,4,1,1,2,1,1,5,6,1,8,3,1,1,3,5,5,4,4,4,4,5,5,5,5,5,5,5,2,2,1,1,1,1,1,1,2,5,1
"259",259,4,1,4,3,4,4,4,4,4,4,4,5,4,4,3,5,2,4,4,1,1,1,3,4,4,2,2,2,1,1,4,0,0,0,15,0,18,4,1,1,4,4,5,4,4,2,4,2,4,4,4,4,4,4,2,3,1,1,1,0,2,1,2,5,1
"260",260,3,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,1,0,4,4,4,4,4,4,1,0,3.34117647058824,0,0,5,2,1,3,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,2,2,1,1,1,2,5,1
"261",261,1,0,5,4,4,5,5,5,5,4,4,3,5,5,5,5,5,5,5,1,1,0,4,4,4,4,0,4,1,1,4,1,0,2,10,1,3,1,2,1,4,4,3,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,1,1,1,2,5,1
"262",262,1,1,4,3,4,4,4,4,5,4,5,4,4,4,5,5,2,5,4,1,1,1,4,4,3,3,3,3,1,1,3,1,1,10,0,2,0,5,1,1,4,5,4,4,4,5,3,2,4,4,4,4,4,5,1,3,1,1,1,1,1,1,2,5,1
"263",263,3,1,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,1,0,0,3,3,3,3,2,2,1,0,3.34117647058824,0,0,5,8,1,1,2,1,1,4,3,4,4,4,4,3,4,3,4,4,4,4,4,1,2,2,2,1,0,2,1,2,5,1
"264",264,1,1,5,3,4,4,4,4,4,5,4,4,3,4,3,3,2,3,3.71788413098237,2,1,0,4,3.57894736842105,4,3,2,0,1,1,4,0,1,6,5,1,2,1,1,1,4,3,4,3,4,3,3,3,3,4,4,4,4,4,2,2,2,2,1,1,1,1,2,5,1
"265",265,3,1,4,5,4,2,3,5,5,4,4,4,4,4,3,2,3,4,4,1,1,0,2,2,3,1,1,1,1,0,3.34117647058824,0,1,12,5,1,1,0,4,1,4,4,4,5,4,3,2,3,4,4,2,3,4,5,3,2,2,2,1,1,2,1,2,5,1
"266",266,1,0,4,4,4,5,4,5,5,3,5,4,4,4,4,5,3,3,4,1,1,0,4,4,4,4,4,4,0,1,4,1,0,0,8,1,2,0,2,0.938172043010753,3,5,4,4,4,4,5,3,4,4,5,4,5,5,1,1,2,1,2,1,2,1,2,5,1
"267",267,1,0,4,4,4,3,3,3,3,3,4,4,5,5,5,4,1,5,5,1,1,1,4,4,4,4,0,4,1,1,4,1,1,5,10,1,2,0,2,1,3,4,4,4,5,5,5,1,5,5,3,3,3,3,1,1,1,2,1,1,1,1,2,5,1
"268",268,1,0,3,2,3,5,5,3,4,3,2,3,3,3,4,3,2,2,3.71788413098237,2,1,0,4,4,4,3,3,3,0,0,3.34117647058824,1,1,0,0,2,0,0,2,1,3,2,3,3,3,3,5,3,2,3,5,4,3,4,3,3,2,2,1,1,2,1,2,5,1
"269",269,1,0,5,4,4,5,5,3,2,3,3,5,4,5,5,5,3,2,4,1,1,1,4,4,4,4,4,4,0,1,4,1,1,4,6,1,1,0,2,1,4,3,4,4,5,5,5,3,5,5,4,4,2,2,3,3,1,1,1,1,1,1,2,5,1
"270",270,6,1,4,3,2,4,4,3,5,4,5,5,1,2,1,2,1,2,2,1,1,0,3,3,1,2,2,2,1,1,1,0,1,7,7,0,1,1,1,1,4,5,5,1,2,1,2,1,2,3,4,5,3,5,1,1,2,2,2,1,1,1,2,5,1
"271",271,3,1,4,4,4,3,3,4,5,4,4,4,4,4,3,3,5,4,4,1,1,1,3,4,3,3,3,2,0,0,3.34117647058824,0,1,4,3,1,1,1,7,1,4,4,4,4,4,4,3,5,3,3,3,4,5,5,1,2,2,1,1,1,1,1,2,5,1
"272",272,1,1,4,2,4,4,5,3,4,5,5,5,4,4,4,4,5,4,4,1,1,0,4,4,4,4,4,4,0,1,3,0,1,4,4,0,2,1,1,1,5,4,5,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,1,1,1,1,2,5,1
"273",273,6,1,4,3,4,5,5,3,4,4,3,4,5,4,5,4,2,2,4,1,1,0,4,4,3,0,4,4,0,1,3,1,1,2,3,1,2,0,2.49051490514905,1,4,3,4,5,4,5,3,2,3,4,4,4,3,4,2,1,1,1,1,1,1,1,2,5,1
"274",274,5,0,5,3,4,4,4,4,5,5,5,5,3,3,5,3,5,2,4,2,0,0,4,4,4,3,0,0,1,1,4,1,1,0,12,1,5,0,2,1,5,5,5,3,3,5,3,5,2,4,4,4,4,5,3,2,1,1,1,0,1,1,2,5,1
"275",275,6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,4,4,4,4,3,0,1,4,1,1,4,4,0,5,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,1,1,2,0,1,1,2,5,1
"276",276,3,1,4,3,3,4,4,5,4,5,5,5,3,4,4,4,5,4,4,1,1,0,3,3,3,4,3,3,0,0,3.34117647058824,0,1,10,6,1,2,0,1,1,4,5,5,4,4,4,4,5,4,5,4,5,5,5,2,3,2,2,1,0,1,1,2,5,1
"277",277,1,0,4,4,4,4,3,5,5,4,4,3,5,4,5,5,4,4,4,1,1,1,4,4,4,4,4,4,1,1,2,1,1,0,4,1,0,3,2,1,3,4,3,4,3,5,5,4,4,4,4,4,4,5,3,3,1,1,1,0,2,1,2,5,1
"278",278,3,1,5,2,4,5,5,3,5,4,5,5,4,4,4,4,3,5,4,2,1,1,4,4,4,0,0,0,0,0,3.34117647058824,0,0,5,7,0,1,1,1,1,5,5,5,4,4,4,4,3,5,4,5,5,4,5,3,3,2,1,2,0,1,1,2,5,1
"279",279,6,1,3,5,5,3,4,4,5,4,5,5,3,3,5,5,4,3,4,1,1,1,4,4,4,3,4,4,0,0,3.34117647058824,0,0,0,2,1,5,3,4,1,4,5,5,3,3,5,5,5,3,4,3,4,5,5,2,1,1,1,1,0,1,1,2,5,1
"280",280,1,1,4,2,3,4,5,4,4,3,5,5,3,4,4,4,2,3,3,1,0,0,4,4,4,3,3,3,1,1,4,0,1,12,9,1,3,0,2,1,3,5,5,3,4,4,3,2,3,3,4,5,4,4,1,2,1,2,1,1,2,1,2,5,1
"281",281,1,1,5,4,4,4,4,2,4,4,5,5,4,5,4,4,4,3,4,1,1,1,3,4,3,4,4,4,0,1,3,0,1,20,7,1,6,1,1,1,4,5,4,4,4,4,3,4,4,4,4,4,2,4,3,1,1,2,2,0,1,1,2,5,1
"282",282,1,1,3,3,3,4,3,4,4,3,4,3,2,4,3,2,5,2,3,2,1,1,2,3,4,0,0,3,0,1,3,0,0,9,2,1,2,1,1,1,3,4,3,2,4,3,2,5,2,3,4,3,4,4,1,1,1,2,1,1,1,1,2,5,1
"283",283,1,0,4,2,3,4,4,2,3,4,5,2,2,5,5,4,5,1,3,1,1,1,4,4,4,4,4,3,1,1,4,1,0,1,1,0,2,0,2,1,4,5,3,2,5,5,3,4,1,3,4,4,1,3,2,3,1,1,1,1,1,1,2,5,1
"284",284,6,1,4,3,4,4,4,4,4,5,5,5,4,4,3,4,4,4,4,1,1,0,4,4,3,4,3,3,0,1,3,0,1,5,6,1,10,2,1,1,4,5,5,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,1,1
"285",285,6,1,4,5,4,3,5,5,5,4,5,5,4,4,5,5,3,3,4,1,1,0,4,3,2,4,2,3,0,1,4,1,1,4,3,1,1,1,1,1,5,5,5,4,4,4,3.59125964010283,3,4,4,4,5,5,5,1,1,2,1,1,1,1,1,2,5,1
"286",286,6,1,4,4,5,4,4,3,3,4,4,5,4,4,4,4,5,5,5,1,1,0,4,4,4,4,4,4,1,1,3,0,0,4,7,1,10,1,1,0.938172043010753,4,4,5,3.61282051282051,3.78205128205128,3.65217391304348,3.59125964010283,3.54241645244216,3.13624678663239,3.71794871794872,4.01282051282051,4.07435897435897,3.94871794871795,4.32307692307692,1,1,1,1,1,3,1,1,2,1,1
"287",287,3,1,5,4,5,5,5,4,4,5,3,5,4,3,2,3,4,3,3,1,1,1,4,4,4,4,4,4,0,0,3.34117647058824,0,1,7,6,1,5,2,2.49051490514905,1,5,3,5,3,4,2,4,4,3,3,4,4,4,4,0,3,2,2,1,0,2,1,2,5,1
"288",288,1,1,4,3,4,4,4,2,3,5,5,4,5,5,5,4,1,4,5,1,1,1,4,4,4,4,0,4,1,1,3,0,1,12,8,1,0,0,2,0,5,5,4,3.61282051282051,3.78205128205128,3.65217391304348,3.59125964010283,3.54241645244216,3.13624678663239,3.71794871794872,4,4,2,3,2,1,1,1,2,1,2,1,2,5,1
"289",289,1,0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,1,4,0,1,0,3,3,4,3,1,2,0,1,4,1,1,0,3,1,0,0,2,1,4,4,5,5,5,5,5,4,2,4,5,5,5,5,3,1,1,1,1,0,2,1,2,5,1
"290",290,3,1,4,4,4,5,4,5,5,4,5,5,4,4,3,4,2,3,4,2,1,0,4,3,3,2,2,2,1,0,3.34117647058824,0,0,11,2,2,2,1,1,1,4,5,5,4,4,3,4,2,2,4,5,4,5,5,1,2,2,2,1,1,2,1,2,5,1
"291",291,1,0,4,4,4,5,5,5,5,3,3,4,5,5,3,4,5,2,5,1,1,0,4,4,4,3,3,3,1,1,4,0,0,1,7,1,0,1,2.49051490514905,0.938172043010753,3,3,4,5,5,3,5,5,2,3.71794871794872,5,5,5,5,2,3,1,1,1,0,2,1,2,5,1
"292",292,2,0,4,2,4,4,4,4,4,4,5,4,4,5,4,5,3,4,4,1,1,1,4,4,4,4,4,4,1,1,4,1,1,4,35,1,10,3,1,1,4,5,4,4,4,4,4,2,3,4,4,4,4,4,1,2,2,1,1,1,3,1,2,5,1
"293",293,6,1,2,3,1,3,3,3,4,3,3,3,2,2,1,2,2,1,1,1,1,0,1,2,2,2,1,1,1,1,4,1,0,5,7,1,1,0,1,1,2,3,2,1,2,1,1,2,1,1,3,3,3,4,0,1,3,2,1,0,2,1,2,5,1
"294",294,3,1,3,3,3,4,4,4,4,4,3,2,3,3,2,1,4,1,3,0,0,0,4,4,4,4,4,3,0,0,3.34117647058824,0,1,0,1,0,3,2,2,1,3,3,2,3,3,2,2,4,2,3,4,4,4,4,3,2,1,1,1,1,1,1,2,5,1
"295",295,1,1,3,2,3,4,4,3,4,4,2,4,4,2,2,3,3,5,3,1,1,0,4,2,2,4,2,2,0,1,3,0,0,5,2,1,0,1,1,1,4,2,3,4,2,2,3,3,5,3,5,4,3,4,2,1,2,2,1,1,1,1,2,5,1
"296",296,1,1,3,3,3,3,3,2,5,4,3,2,3,3,3,4,3,1,3,2,1,0,4,4,4,4,2,3,1,1,2,0,1,0,12,1,17,4,4,1,4,4,3,3,2,3,3,3,2,3,3,3,2,5,1,1,3,3,2,1,2,1,2,5,1
"297",297,1,0,2,1,2,2,1,1,1,2,3,2,2,2,1,2,1,1,1,1,1,1,3,3,3,2,2,0,1,1,3,0,0,0,2,0,1,0,2,1,1,5,2,2,2,1,2,1,1,1,2,1,1,1,3,1,3,2,1,1,2,1,2,5,1
"298",298,5,0,3,3,3,4,3,2,2,2,5,3,2,2,2,3,4,1,2,1,1,0,3,3,3,2,1,2,0,1,2,1,1,0,0,2,4,1,3,1,2,5,3,2,2,2,2,4,1,2,4,2,2,2,1,1,3,2,2,0,1,1,3,6,1
"299",299,1,0,3,2,2,2,4,3,4,4,5,3,2,3,2,3,1,1,2,1,0,1,0,3,4,1,1,2,1,1,3,0,0,1,4,1,0,4,3,1,4,4,3,2,2,1,2,1,1,2,3,3,3,4,2,2,3,2,1,1,2,1,2,4,1
"300",300,1,1,2,4,2,1,1,4,5,2,4,3,2,3,1,2,1,1,2,1,0,0,3,3,3,0,0,0,1,1,4,0,1,14,4,1,4,0,1,1,2,4,3,2,3,1,2,1,1,2,1,1,4,5,1,1,3,2,2,0,1,1,2,5,1
"301",301,1,1,4,1,2,4,4,2,3,4,3,5,4,5,5,5,3,1,4,1,1,1,4,4,4,4,2,3,0,1,3,1,0,6,8,1,2,1,1,1,3,3,5,5,5,5,5,4,2,4,5,3,2,3,3,2,1,1,1,3,2,2,2,1,1
"302",302,1,1,2,3,3,2,3,2,4,3,5,3,3,3,2,2,2,3,3,0,1,0,2,3,3,0,0,0,1,0,3.34117647058824,0,1,0,8,1,8,0,4,1,4,5,3,3,3,2,2,1,2,3,2,3,2,4,0,2,3,2,2,0,2,1,2,1,1
"303",303,6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,4,4,4,4,4,4,0,1,3,1,1,10,2,1,3,2,7,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,2,1,1
"304",304,2.35368956743003,0,5,3,4,5,5,5,5,4,5,5,5,5,3,3,4,2,4,1.09438775510204,1,1,3,2,3,2,2,1,1,1,4,0,0,8,10,1,3,1,3,0,4,4,5,5,5,3,3,4,2,4,5,5,5,5,1,2,2,2,2,3,2,2,2,5,1
"305",305,3,1,4,4,4,4,4,4,5,5,5,5,4,4,5,4,2,3,4,1,1,0,4,4,4,4,3,3,1,1,4,0,1,4,7,1,3,1,2,1,5,5,5,4,4,5,4,2,3,4,4,4,4,5,2,1,1,2,1,0,1,1,2,5,1
"306",306,1,1,4,3,4,5,5,5,4,4,5,5,2,2,3,2,5,4,4,1,1,0,4,4,4,4,4,3,0,1,4,1,1,3,6,1,1,1,2,1,4,5,5,2,2,4,2,5,4,4,4,5,5,4,2,3,2,2,1,1,2,1,2,5,1
"307",307,6,1,4,3,4,5,4,3,3,4,2,5,2,4,5,4,5,5,5,1,1,0,4,4,4,4,4,4,0,1,3,0,1,10,20,1,8,2,1,1,4,2,5,3,4,5,5,5,5,5,5,4,3,3,2,2,1,2,2,1,2,1,2,5,1
"308",308,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,4,4,4,4,4,1,1,4,1,1,1,2,1,1,1,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,1,2,2,2,1,1
"309",309,1,0,4,3,4,5,4,4,5,4,3,4,3,4,5,4,5,4,4,1,1,1,4,4,4,4,4,4,1,1,4,1,1,2,8,1,3,0,2,0,4,3,4,3,4,5,4,5,4,4,5,4,4,5,3,2,1,1,1,0,2,1,2,5,1
"310",310,1,0,3,2,3,4,2,3,2,3,5,2,4,3,4,3,2,1,3,1,0,0,4,4,4,4,1,3,1,1,4,0,1,3,15,1,7,1,2,1,3,5,2,3,4,4,2,1,2,3,4,2,3,2,3,3,1,1,1,1,1,2,2,5,1
"311",311,1,1,4,2,2,3,4,2,2,3,4,3,5,4,4,3,1,3,3,2,1,0,2,3,3,4,3,3,1,1,3,0,1,4,1,1,0,1,2,1,3,3,3,5,4,4,3,1,3,3,3,4,2,2,1,1,1,1,1,1,2,1,2,5,1
"312",312,6,1,3,4,4,4,5,4,5,4,3,5,3,3,3,4,5,4,4,1,1,0,3,4,2,4,3,2,1,1,4,1,1,10,6,1,4,1,1,1,4,4,4,3,3,3,4,4,3,4,4,5,4,5,1,1,2,1,1,0,1,1,2,5,1
"313",313,1,0,4,3,3,4,4,4,4,4,4,4,5,4,3,4,2,3,4,1,1,0,4,4,4,3,2,4,1,1,3,1,0,3,10,1,2,1,2,0.938172043010753,4,4,3,4,4,4,3,2,3,4,4,4,4,4,3,3,1,1,1,1,1,1,2,5,1
"314",314,1,1,4,4,4,5,5,4,4,5,5,5,3,3,4,4,5,3,4,1,1,0,3,3,3,3,2,2,0.608695652173913,1,3,1,1,7,5,1,2,3,7,1,5,4,5,3,3,4,4,4,3,4,5,4,4,5,1,1,1,2,2,1,2,1,2,5,1
"315",315,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1,1,4,4,4,4,3,3,1,1,4,1,1,5,3,1,12,3,2,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,2,1,1,1,1,1,1,2,5,1
"316",316,1,1,4,4,4,5,3,3,5,4,5,5,4,3,4,5,4,3.02010050251256,4,0,1,1,4,4,4,4,4,3,1,1,4,0,1,3,4,1,6,0,1,1,4,5,5,4,3,4,4,3,3,4,5,3,3,5,1,1,1,2,2,1,2,1,2,5,1
"317",317,1,1,3,3,3,4,4,4,5,3,5,3,2,2,3,3,4,3,3,1,1,1,2,3,3,2,2,3,1,1,2,0,1,0,7,1,3,1,3,1,2,5,3,2,2,3,3,4,2,3,4,4,4,5,1,2,2,2,1,1,2,1,2,5,1
"318",318,1,1,5,4,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,1,1,1,3,4,4,3,3,4,1,1,3,0,1,10,6,1,0,1,1,0,4,5,4,5,5,4,3,3,3,4,5,5,4,4,2,2,1,1,1,0,1,1,2,5,1
"319",319,1,1,3,2,2,3,2,3,2,2,5,3,3,3,2,3,4,1,2,1,1,0,3,2,4,0,2,0,0,1,2,1,1,0,2,1,4,4,1,1,2,5,3,3,3,2,2,4,1,2,3,2,2,3,3,2,3,3,1,0,1,1,2,5,1
"320",320,5,0,5,1,3,4,4,2,3,1,4,1,4,5,2,4,3,1,3,0,1,1,4,3,3,4,0,3,1,1,1,0,1,4,23,1,4,0,2,1,1,4,2,4,4,2,3,3,2,3,4,4,2,3,2,2,1,2,1,1,1,1,2,5,1
